personiOrscene,person,personiOr,scene,face_path,global_path,width,height
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_01_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_02_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_03_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_04_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_05_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_06_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_07_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_08_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_09_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_10_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_11_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_12_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_13_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_14_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_15_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_16_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_17_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_18_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_19_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_20_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
f10ih3k,f10,f10i,h3k,"D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_face\f10i\f10ih3k_21_face.jpg","D:\work\secondYearMaster\thesis\reference\appeal\algorithms\preference_evaluate\deepskin\data\toMax\rendered_2max\f10i\f10ih3k_01.jpg",1148,1530
