group_name,num_images,spearman_corr,p_value
f01ih3k,33,-0.4240,0.0139
f01ih4k,33,-0.7016,0.0000
f01ih5k,33,-0.7529,0.0000
f01ih6k,33,-0.5987,0.0002
f01ih7k,33,-0.3569,0.0414
f01ih8k,33,-0.1891,0.2920
f01ihd65,33,-0.4515,0.0084
f01il3k,33,0.5791,0.0004
f01il4k,33,0.4925,0.0036
f01il5k,33,0.3027,0.0868
f01il6k,33,0.2737,0.1233
f01il7k,33,0.3391,0.0535
f01il8k,33,0.3564,0.0418
f01ild65,33,0.2500,0.1605
f01im3k,33,-0.0185,0.9186
f01im4k,33,0.1378,0.4444
f01im5k,33,-0.0267,0.8826
f01im6k,33,-0.1247,0.4892
f01im7k,33,-0.1427,0.4282
f01im8k,33,-0.2087,0.2438
f01imd65,33,-0.1468,0.4151
